,ZONA, SUBURBAN , VAN , SPRINTER ,, SUBURBAN , VAN , SPRINTER 
,, ONE WAY , ONE WAY , ONE WAY ,, ROUNDTRIP , ROUNDTRIP , ROUNDTRIP 
 - La Paz,La Paz - Villa or Hotel, $355.00 , $410.00 , $500.00 ,, $710.00 , $820.00 ," $1,000.00 "
 - Codigo Postal,"23400, San Jose Downtown", $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - Codigo Postal,"23403, Puerto Los Cabos", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23403, Fraccionamiento Rincón de la Playa", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23403, Colonia La Playa", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23403, Barrio San Vicente", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23403, Colonia La Choya INFONAVIT", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23405, Fraccionamiento Loma Encantada", $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Codigo Postal,"23405, Fraccionamiento Palmilla", $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Codigo Postal,"23405, Fraccionamiento Rancho Cerro Colorado", $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Codigo Postal,"23405, Fraccionamiento Cabo Colorado", $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Codigo Postal,"23405, Zona comercial Zona Hotelera San José del Cabo", $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Codigo Postal,"23405, Cabo Real", $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Codigo Postal,"23405, La Joya de los Cabos", $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Codigo Postal,"23405, Mykonos", $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Codigo Postal,"23405, Coral Baja", $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Codigo Postal,"23405, Mañanitas", $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Codigo Postal,"23405, Fraccionamiento Costa Brava", $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Codigo Postal,"23405, Fraccionamiento Lomas del Tule", $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Codigo Postal,"23405, Fraccionamiento El Tule", $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Codigo Postal,"23405, Colonia Magisterial", $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Codigo Postal,"23405, Fraccionamiento La Antigua", $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Codigo Postal,"23405, Fraccionamiento Vista Colorada", $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Codigo Postal,"23406, Colonia 8 de Octubre", $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - Codigo Postal,"23406, Fraccionamiento Club Campestre San José", $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - Codigo Postal,"23406, Colonia Primero de Mayo", $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - Codigo Postal,"23406, Colonia 5 de Febrero", $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - Codigo Postal,"23406, Colonia Costa Azul", $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - Codigo Postal,"23406, Condominio Gringos Hill", $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - Codigo Postal,"23406, Colonia Lomas de La Jolla", $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - Codigo Postal,"23406, Colonia Villas de La Joya", $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - Codigo Postal,"23406, Colonia Cerro del Vigía", $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - Codigo Postal,"23406, Colonia Terrazas Costa Azul", $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - Codigo Postal,"23407, Colonia Rosarito", $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - Codigo Postal,"23407, Colonia Animas Bajas", $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - Codigo Postal,"23407, Pueblo Animas Altas", $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - Codigo Postal,"23407, Colonia Guaymitas", $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - Codigo Postal,"23407, Colonia Rinconada La Huerta", $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - Codigo Postal,"23440, Colonia Jesús Castro Agundes", $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - Codigo Postal,"23443, Colonia Mauricio Castro", $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - Codigo Postal,"23443, Colonia Chula Vista", $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - Codigo Postal,"23443, Colonia El Aguajito", $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - Codigo Postal,"23444, Colonia Luis Donaldo Colosio", $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - Codigo Postal,"23444, Colonia Lomas de Rosarito", $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - Codigo Postal,"23444, Fraccionamiento Monte Real Residencial", $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - Codigo Postal,"23444, Fraccionamiento Colinas Plus", $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - Codigo Postal,"23444, Fraccionamiento Country del Mar", $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - Codigo Postal,"23450, Colonia Cabo San Lucas Centro", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23450, Zona Comercial Plaza Bonita", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23450, Zona Comercial Plaza Real", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23450, Zona Comercial Plaza del Marlin", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23450, Zona Comercial Plaza del Sol", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23450, Zona Comercial Plaza Náutica", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23450, Zona Comercial Plaza las Glorias", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23450, Zona Comercial La Dársena", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23450, Zona Comercial Modulo Turístico", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23453, Colonia El Medano", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23453, Colonia La Marina", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23453, Colonia Terrasol", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23453, Colonia El Pedregal", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23454, Fraccionamiento La Noria", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23454, Fraccionamiento Las Villas del Tezal", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23454, Fraccionamiento Luna del Tezal", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23454, Fraccionamiento Ventanas del Mar", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23454, Fraccionamiento Rancho Paraíso", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23454, Fraccionamiento Cabo del Mar", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23454, Fraccionamiento Ventanas de Cabo", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23454, Colonia El Tezal", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
